language,created_at,watchers_sum,forks_sum,count
Lua,2011-05-26,453,115,6
Lua,2011-12-09,8,8,8
Lua,2010-09-29,9,15,8
Lua,2011-10-11,1,1,1
Lua,2009-08-07,6,2,1
Lua,2010-05-08,1,1,1
Lua,2011-05-20,2,2,2
Lua,2012-03-15,160,78,55
Lua,2012-01-31,778,615,174
Lua,2011-09-22,12,4,4
Lua,2009-09-07,4,4,4
Lua,2011-04-22,2,1,1
Lua,2011-05-13,525,102,8
Lua,2011-12-15,5,2,2
Lua,2011-07-13,1,1,1
Lua,2012-01-26,50,14,9
Lua,2010-05-05,19,2,1
Lua,2011-05-15,1,1,1
Lua,2012-02-24,28,0,28
Lua,2012-01-27,80,57,23
Lua,2009-02-26,15,1,1
Lua,2012-02-04,576,14,96
Lua,2011-03-07,34,17,17
Lua,2009-08-18,12,2,1
Lua,2011-02-04,120,80,40
Lua,2012-02-07,51,31,19
Lua,2010-12-24,2,1,1
Lua,2009-04-26,2,0,1
Lua,2011-01-20,20,11,2
Lua,2010-12-08,5,2,1
Lua,2011-04-04,357,36,8
Lua,2010-07-31,21,3,1
Lua,2011-09-29,94,49,9
Lua,2010-08-13,3,1,1
Lua,2011-04-17,151,59,21
Lua,2011-07-22,12,6,3
Lua,2011-01-01,43,7,1
Lua,2011-08-06,2,1,1
Lua,2011-11-06,3,2,2
Lua,2012-03-26,177,65,34
Lua,2011-09-26,50,28,8
Lua,2012-03-01,39,38,39
Lua,2010-10-31,18,3,1
Lua,2008-02-26,18,5,2
Lua,2011-12-27,44,20,20
Lua,2012-02-03,138,89,75
Lua,2010-12-07,3,1,1
Lua,2012-02-27,14,9,12
Lua,2012-03-29,89,38,40
Lua,2011-09-07,2,1,1
Lua,2008-12-10,2,0,1
Lua,2010-02-15,2621,1809,5
Lua,2011-06-20,6,6,6
Lua,2012-02-17,111,13,9
Lua,2008-05-11,7,2,1
Lua,2012-02-22,20,17,17
Lua,2011-04-25,61,11,4
Lua,2009-10-26,5,1,1
Lua,2011-10-17,5,5,5
Lua,2011-11-19,1,1,1
Lua,2011-08-10,2,2,2
Lua,2012-03-13,232,107,108
Lua,2011-06-18,98,33,8
Lua,2011-08-22,60,60,30
Lua,2008-05-12,62,14,2
Lua,2010-03-29,2074,1015,35
Lua,2011-08-03,7,4,4
Lua,2010-11-23,3,2,1
Lua,2011-05-04,8,8,8
Lua,2010-10-07,12,5,3
Lua,2011-09-09,1,0,1
Lua,2010-11-16,3,1,1
Lua,2012-03-22,27,14,26
Lua,2012-01-22,220,72,55
Lua,2011-02-07,394,85,21
Lua,2010-10-28,162,37,37
Lua,2011-02-12,88,44,44
Lua,2011-05-23,2685,176,12
Lua,2011-07-23,2,2,2
Lua,2011-11-14,2363,1325,201
Lua,2011-06-30,12,12,6
Lua,2011-10-16,2,2,2
Lua,2011-09-30,16,8,4
Lua,2011-09-10,1,1,1
Lua,2011-10-31,1,2,1
Lua,2011-11-16,3270,575,84
Lua,2011-04-21,9,2,1
Lua,2010-04-23,3,3,3
Lua,2011-03-30,616,164,44
Lua,2011-08-02,2,2,2
Lua,2011-11-07,16,0,16
Lua,2012-01-28,4,2,2
Lua,2012-01-17,31,17,17
Lua,2009-09-21,119,28,4
Lua,2012-01-30,24,20,12
Lua,2012-03-19,56,51,50
Lua,2010-12-20,393,29,10
Lua,2012-03-08,23,20,20
Lua,2011-10-09,4,4,4
Lua,2011-03-03,11,4,1
Lua,2011-09-19,16,8,8
Lua,2010-08-08,7523,2184,48
Lua,2010-02-24,5,3,1
Lua,2009-08-17,7,7,7
Lua,2009-05-20,1440,359,18
Lua,2009-09-11,94,13,3
Lua,2011-11-10,76,26,7
Lua,2011-01-06,10,5,5
Lua,2012-03-05,95,60,37
Lua,2011-08-20,2,1,1
Lua,2011-12-28,3,0,1
Lua,2011-06-13,2663,2063,118
Lua,2010-02-02,91,23,5
Lua,2011-05-01,68,32,18
Lua,2008-04-01,183,46,2
Lua,2011-11-26,16,14,14
Lua,2012-03-14,130,106,122
Lua,2011-12-21,51,0,17
Lua,2011-09-14,22,17,11
Lua,2009-07-22,63,8,1
Lua,2010-05-19,4,3,3
Lua,2011-07-27,141,23,11
Lua,2011-10-18,119,48,34
Lua,2011-11-27,385,296,54
Lua,2011-02-21,73,43,10
Lua,2011-10-06,5,1,2
Lua,2009-04-18,1,0,1
Lua,2011-05-22,37,20,20
Lua,2011-04-02,4,4,2
Lua,2011-07-31,2,1,1
Lua,2009-05-01,10,0,5
Lua,2010-03-18,12,6,6
Lua,2011-06-03,29,8,2
Lua,2011-02-01,24,4,2
Lua,2011-02-24,21,6,6
Lua,2011-07-02,3,1,1
Lua,2010-04-13,7,7,7
Lua,2008-09-20,30,2,1
Lua,2012-03-30,41,38,39
Lua,2012-03-25,50,49,50
Lua,2012-03-12,909,306,318
Lua,2011-11-12,10,4,4
Lua,2011-03-26,24,18,3
Lua,2010-11-30,2,2,2
Lua,2011-12-14,11,4,7
Lua,2010-03-26,71,12,2
Lua,2011-08-05,12,4,4
Lua,2011-06-21,193,78,13
Lua,2011-11-23,1,1,1
Lua,2011-10-14,57,27,9
Lua,2009-11-15,4,2,2
Lua,2011-01-18,2,2,1
Lua,2009-06-03,37,6,2
Lua,2010-05-18,49,18,6
Lua,2012-02-26,38,20,20
Lua,2010-07-27,27,2,1
Lua,2011-06-16,39,6,3
Lua,2011-08-12,3,3,3
Lua,2011-07-17,10,10,5
Lua,2011-04-18,126,28,14
Lua,2008-11-25,4,2,1
Lua,2012-02-28,58,15,27
Lua,2010-08-30,111,57,6
Lua,2012-03-31,23,19,22
Lua,2010-07-18,16,6,3
Lua,2011-11-20,56,16,8
Lua,2010-03-11,18,6,6
Lua,2012-01-02,16,4,4
Lua,2011-04-09,1,1,1
Lua,2012-03-20,354,262,252
Lua,2010-03-08,1235,207,22
Lua,2011-02-25,1,1,1
Lua,2011-03-01,823,455,94
Lua,2008-03-22,20,11,1
Lua,2010-11-24,2,1,1
Lua,2011-03-06,22,4,2
Lua,2012-03-09,59,48,50
Lua,2012-03-17,24,13,23
Lua,2011-12-12,29,24,23
PHP,2010-03-01,268861,117521,872
PHP,2011-10-19,7433,2243,386
PHP,2009-03-13,153,36,6
PHP,2012-01-01,377,114,71
PHP,2010-07-07,112386,21538,302
PHP,2012-03-24,12562,2407,1956
PHP,2010-02-17,573,102,12
PHP,2011-11-01,8263,3659,690
PHP,2009-07-27,2498,354,19
PHP,2010-11-15,97,37,30
PHP,2011-03-08,4023,636,91
PHP,2010-09-25,100,51,18
PHP,2011-02-11,198,81,30
PHP,2012-03-30,1314,1004,1141
PHP,2010-06-27,54,31,2
PHP,2010-11-29,2996,452,44
PHP,2009-03-11,456,119,22
PHP,2012-03-05,4227,2635,1598
PHP,2009-06-30,32,11,1
PHP,2011-06-18,6553,1991,223
PHP,2011-09-13,10716,2153,206
PHP,2010-02-16,5369,1687,51
PHP,2009-04-01,7137,1983,22
PHP,2010-02-03,1366,171,25
PHP,2011-01-02,15,8,6
PHP,2011-09-03,3699,856,63
PHP,2011-04-29,523,79,35
PHP,2010-12-25,3092,827,90
PHP,2009-09-26,109,62,7
PHP,2009-12-12,35,10,5
PHP,2010-01-12,15,9,3
PHP,2011-06-17,2984,456,61
PHP,2010-10-11,264,50,15
PHP,2010-11-14,588,80,18
PHP,2011-09-05,1006,293,144
PHP,2011-12-11,854,437,215
PHP,2010-03-17,6207,571,28
PHP,2011-02-27,11540,1084,102
PHP,2009-05-26,7330,2955,31
PHP,2010-03-29,1703,690,76
PHP,2010-05-29,752,107,77
PHP,2010-12-03,8898,2060,96
PHP,2011-09-26,54550,27077,305
PHP,2011-07-19,7528,1370,172
PHP,2009-06-02,1754,748,31
PHP,2010-07-29,31931,12362,119
PHP,2011-11-02,4333,989,236
PHP,2009-02-10,17,8,3
PHP,2011-04-28,14428,5019,282
PHP,2010-10-17,27,22,18
PHP,2011-07-05,1015,312,106
PHP,2010-07-03,130,31,5
PHP,2009-12-29,6,3,1
PHP,2010-06-21,495,267,64
PHP,2011-06-04,160,74,25
PHP,2009-01-07,2,2,1
PHP,2008-05-29,1005,84,4
PHP,2010-08-01,1096,170,114
PHP,2011-02-13,1201,228,72
PHP,2009-10-16,85,22,2
PHP,2008-06-13,92,32,4
PHP,2010-08-07,142,103,82
PHP,2010-01-10,112,42,9
PHP,2010-01-14,4900,1462,213
PHP,2009-01-09,1276,269,15
PHP,2010-03-11,125,60,22
PHP,2010-01-08,303,165,45
PHP,2011-01-14,878,545,38
PHP,2011-02-23,1892,1296,175
PHP,2010-07-28,1017,166,92
PHP,2012-02-15,536662,112100,1322
PHP,2011-04-02,6208,2423,117
PHP,2011-08-06,605,170,56
PHP,2010-02-10,13559,1522,51
PHP,2010-02-23,46,14,2
PHP,2011-08-16,1072,114,46
PHP,2010-12-28,2388,722,58
PHP,2011-08-03,9739,2057,190
PHP,2011-06-19,1786,673,53
PHP,2010-10-01,367,103,26
PHP,2010-09-01,27,11,3
PHP,2010-04-12,1107,336,17
PHP,2011-07-30,869,260,108
PHP,2011-04-14,4726,1044,354
PHP,2011-09-02,414,193,101
PHP,2009-03-07,78,14,4
PHP,2011-01-07,768,198,38
PHP,2010-06-08,305,90,36
PHP,2011-03-17,895,317,96
PHP,2010-03-04,572,81,70
PHP,2011-03-22,94,54,61
PHP,2011-03-29,383093,112048,712
PHP,2011-12-31,339,79,63
PHP,2008-11-03,9,4,1
PHP,2011-02-20,40354,18108,293
PHP,2010-02-04,11152,3177,71
PHP,2010-11-16,67,42,20
PHP,2010-06-04,1370,223,49
PHP,2011-11-24,1258,333,174
PHP,2009-09-06,16764,6608,82
PHP,2011-07-15,698,218,82
PHP,2009-12-16,24806,17790,96
PHP,2011-09-20,2532,1029,179
PHP,2009-08-17,66,24,6
PHP,2009-01-15,12,4,1
PHP,2010-02-13,5989,1043,24
PHP,2012-02-06,1844,829,417
PHP,2010-11-17,1228,353,62
PHP,2009-09-10,2,1,1
PHP,2010-01-25,33361,4443,118
PHP,2011-07-22,2214,734,379
PHP,2009-05-10,48,17,3
PHP,2010-09-21,128,47,17
PHP,2010-10-28,20,6,3
PHP,2011-03-09,390,93,63
PHP,2010-04-04,403,65,9
PHP,2009-09-01,133,29,5
PHP,2010-11-25,1285,391,23
PHP,2009-08-13,121969,33147,318
PHP,2010-09-03,68067,19447,165
PHP,2011-08-22,473,209,161
PHP,2011-05-24,148,82,56
PHP,2011-07-06,1227,366,172
PHP,2010-08-06,2207,385,19
PHP,2012-02-14,2076,1083,786
PHP,2011-08-31,919,381,134
PHP,2011-12-02,567,190,259
PHP,2009-04-06,650,185,8
PHP,2009-09-14,75,26,8
PHP,2010-01-21,4264,1205,43
PHP,2011-07-21,2827,916,164
PHP,2009-07-30,42577,13508,68
PHP,2010-09-27,860,143,14
PHP,2011-07-26,688,208,121
PHP,2011-02-26,16257,3519,234
PHP,2009-06-08,206,52,3
PHP,2011-04-30,417,79,43
PHP,2010-02-15,940,443,84
PHP,2011-06-07,388852,79518,892
PHP,2010-06-12,100,41,18
PHP,2010-09-05,97,23,2
PHP,2009-07-02,31,6,3
PHP,2011-03-25,988,480,89
PHP,2009-04-16,289,38,4
PHP,2012-01-04,24986,1887,318
PHP,2011-09-12,1080,467,95
PHP,2011-07-01,201,91,53
PHP,2010-12-18,3017,497,34
PHP,2011-01-22,271,64,30
PHP,2012-03-11,3110,2218,2037
PHP,2009-10-29,122,22,2
PHP,2009-01-17,1270,342,9
PHP,2009-09-08,22,7,1
PHP,2009-08-07,112,28,7
PHP,2011-10-04,12859,3810,316
PHP,2012-02-03,965,452,335
PHP,2010-10-15,1696,310,25
PHP,2010-02-09,331,72,70
PHP,2011-07-24,1833,284,123
PHP,2012-02-27,3068,1172,988
PHP,2010-03-18,30444,3526,49
PHP,2010-05-02,5499,1553,80
PHP,2010-04-10,4,4,2
PHP,2010-04-18,10360,1633,49
PHP,2009-12-01,1,1,1
PHP,2011-04-09,3884,602,116
PHP,2009-09-16,32,16,4
PHP,2010-12-20,573,294,96
PHP,2011-09-07,3198,627,165
PHP,2010-06-22,3954,1784,119
PHP,2011-11-10,369,152,127
PHP,2009-11-01,403,126,7
PHP,2011-07-20,5136,1635,174
PHP,2011-03-27,128,30,9
PHP,2008-12-18,17,4,2
PHP,2012-03-19,26884,3825,2477
PHP,2009-07-11,54,19,1
PHP,2010-06-02,2902,401,26
PHP,2009-08-02,3,1,1
PHP,2010-12-11,23,4,3
PHP,2010-02-21,105,47,15
PHP,2011-08-20,346,122,78
PHP,2011-10-05,28266,7966,299
PHP,2009-11-24,283,78,6
PHP,2011-05-06,1408,204,44
PHP,2011-07-28,3217,1315,233
PHP,2011-08-30,3307,699,192
PHP,2011-11-21,1276,654,347
PHP,2010-04-23,116,53,6
PHP,2011-04-16,6699,2850,220
PHP,2009-05-31,3842,505,14
PHP,2009-09-09,23,11,5
PHP,2009-10-31,36,8,7
PHP,2012-02-01,48336,9801,461
PHP,2010-12-16,2143,605,188
PHP,2011-12-30,125088,17469,568
PHP,2011-10-30,479,152,89
PHP,2008-04-09,4,1,1
PHP,2009-07-21,60,9,1
PHP,2010-05-12,425,149,28
PHP,2009-07-12,30,18,2
PHP,2011-04-19,2100,508,99
PHP,2011-08-14,384,112,38
PHP,2011-12-09,3065,615,376
PHP,2011-03-28,3445,883,174
PHP,2011-10-29,1547,554,181
PHP,2012-03-08,3055,1742,1149
PHP,2010-01-01,3,2,1
PHP,2011-05-26,558,100,35
PHP,2010-09-10,56,11,3
PHP,2012-01-14,2093,658,307
PHP,2009-10-06,89,51,9
PHP,2011-03-21,41957,8994,204
PHP,2010-11-08,242,125,30
PHP,2008-10-13,2778,407,12
PHP,2010-06-14,99,45,6
PHP,2010-07-06,499219,189318,545
PHP,2012-03-21,3652,2382,2710
PHP,2011-10-23,1880,326,66
PHP,2011-02-02,5522,1013,64
PHP,2011-11-06,25609,13517,582
PHP,2011-07-10,692,305,85
PHP,2012-01-27,687,297,238
PHP,2011-08-10,5656,1959,139
PHP,2011-09-15,1250,297,141
PHP,2011-02-14,42030,5588,205
PHP,2008-07-04,2,0,1
PHP,2010-04-06,336286,96425,296
PHP,2012-01-09,25543,11131,567
PHP,2009-05-30,147,36,8
PHP,2010-06-05,34,18,17
PHP,2009-05-27,2494,221,17
PHP,2008-11-04,1764,339,21
PHP,2010-07-05,180,27,11
PHP,2008-12-01,28,8,2
PHP,2010-08-14,220,43,11
PHP,2010-07-11,389,64,6
PHP,2009-10-12,15,6,3
PHP,2011-06-24,30506,2985,201
PHP,2009-12-21,471,97,9
PHP,2012-03-18,3067,2013,1995
PHP,2010-10-25,4780,1052,86
PHP,2011-12-25,1534,326,174
PHP,2010-08-27,2732,743,86
PHP,2011-11-15,4211,933,146
PHP,2010-05-23,350,87,23
PHP,2009-05-18,2,2,2
PHP,2010-11-20,51,12,6
PHP,2009-08-20,5,1,1
PHP,2012-03-20,3492,2762,2850
PHP,2010-09-13,4861,1339,164
PHP,2009-07-15,82,21,1
PHP,2009-03-22,104,19,3
PHP,2011-05-14,83,33,18
PHP,2010-06-16,1774,203,11
PHP,2010-07-09,191,72,13
PHP,2011-07-04,2304,708,142
PHP,2010-09-08,12313,4295,198
PHP,2011-12-12,70736,8428,286
PHP,2008-08-23,2,0,2
PHP,2012-01-26,4935,1120,485
PHP,2010-07-10,157,13,8
PHP,2012-03-14,6603,3241,2680
PHP,2010-07-27,48,10,4
PHP,2008-12-19,23748,4668,59
PHP,2011-04-25,441,119,57
PHP,2009-03-26,157,29,3
PHP,2010-03-30,524,68,8
PHP,2011-03-14,17888,4251,194
PHP,2011-09-04,1736,336,70
PHP,2011-11-16,1482,646,312
PHP,2010-09-30,15,10,5
PHP,2010-10-18,2113,1300,117
PHP,2011-04-17,440,202,64
PHP,2011-09-22,208,89,66
PHP,2011-11-11,452,276,198
PHP,2010-05-11,64,20,6
PHP,2009-04-09,192,96,16
PHP,2011-05-30,592,182,75
PHP,2009-12-04,66,24,6
PHP,2010-12-09,406,94,40
PHP,2009-08-21,965,486,26
PHP,2010-12-13,75,31,23
PHP,2010-02-27,64,18,6
PHP,2009-11-07,24075,1950,50
PHP,2010-12-21,242,89,25
PHP,2010-02-12,765,285,34
PHP,2010-04-28,2622,619,35
PHP,2011-04-26,300535,141499,983
PHP,2010-05-20,148113,45336,486
PHP,2011-08-19,2409583,644977,1277
PHP,2011-06-28,560,116,35
PHP,2010-07-31,5756,1476,47
PHP,2010-10-02,216,64,8
PHP,2010-03-16,1070,214,27
PHP,2010-03-13,1811,413,19
PHP,2011-01-05,9019,1908,189
PHP,2008-10-31,25,11,1
PHP,2010-07-14,405,75,26
PHP,2010-10-26,6428,1234,33
PHP,2011-02-07,6314,1368,158
PHP,2011-08-13,404,169,76
PHP,2011-03-19,2206,419,48
PHP,2010-10-09,1767,443,74
PHP,2011-06-14,289,138,99
PHP,2010-02-06,83,30,16
PHP,2009-02-26,15,5,5
PHP,2008-11-27,591,51,3
PHP,2009-08-12,36,8,2
PHP,2011-11-14,66708,3499,294
PHP,2011-01-20,125,21,17
PHP,2011-03-23,253,26,97
PHP,2011-06-05,582,387,103
PHP,2011-01-08,889,244,25
PHP,2009-11-14,1271,378,36
PHP,2010-07-26,1667,464,112
PHP,2010-12-02,5353,1304,58
PHP,2011-06-09,5729,1910,191
PHP,2011-09-10,23433,3164,128
PHP,2009-03-06,1280,518,23
PHP,2009-10-01,14,6,2
PHP,2010-11-10,5942,1068,104
PHP,2012-02-22,1969,1040,793
PHP,2009-05-20,3,1,1
PHP,2011-09-18,3352,600,159
PHP,2010-04-14,549878,114168,224
PHP,2011-05-17,11672,4069,280
PHP,2008-09-16,12,0,4
PHP,2010-11-18,1228,230,27
PHP,2009-07-28,71658,12360,92
PHP,2010-11-11,593,163,22
PHP,2011-05-22,4061,1281,268
PHP,2012-02-08,1376,600,557
PHP,2010-10-27,5851,2111,43
PHP,2010-08-22,1334,224,67
PHP,2012-03-09,4250,1721,1499
PHP,2010-11-09,22688,5110,98
PHP,2011-05-15,581,212,86
PHP,2009-10-15,9,2,1
PHP,2009-06-05,2,2,2
PHP,2009-01-30,12,7,2
PHP,2010-08-12,172,33,23
PHP,2009-07-17,24520,3410,38
PHP,2011-09-16,340,157,117
PHP,2011-07-08,7990,850,123
PHP,2009-12-23,3,1,1
PHP,2011-11-29,87481,19897,732
PHP,2011-03-31,685,65,30
PHP,2011-04-07,1141,272,43
PHP,2009-12-24,354395,51746,227
PHP,2010-04-13,598,150,26
PHP,2011-08-11,563,203,93
PHP,2011-10-31,1217,472,199
PHP,2009-02-20,2497,324,12
PHP,2009-01-14,153,48,2
PHP,2010-08-05,381,83,27
PHP,2011-02-01,96385,46927,515
PHP,2012-01-21,620,208,300
PHP,2011-04-04,47284,12084,239
PHP,2009-08-14,63,47,10
PHP,2011-02-05,39,9,7
PHP,2010-05-14,13,9,4
PHP,2010-07-15,762,340,336
PHP,2010-11-05,66,9,5
PHP,2010-06-30,2270,313,20
PHP,2011-01-16,415,104,57
PHP,2011-10-10,10683,4011,289
PHP,2010-01-27,60,18,2
PHP,2010-08-25,400,111,29
PHP,2012-01-16,1259,386,276
PHP,2009-11-13,314,60,8
PHP,2011-12-16,1223,976,324
PHP,2010-07-22,692,179,18
PHP,2010-05-31,15,5,4
PHP,2012-01-08,4291,1620,212
PHP,2011-02-22,3030,846,211
PHP,2009-02-19,695,99,11
PHP,2009-06-23,23,10,2
PHP,2010-07-25,1181,283,47
PHP,2010-05-18,593,207,24
PHP,2009-03-21,15,0,1
PHP,2010-11-23,4469,2155,216
PHP,2012-02-29,2871,2074,1266
PHP,2010-10-07,702,206,74
PHP,2012-01-12,1255,597,401
PHP,2011-07-11,3220,678,123
PHP,2010-05-30,922,73,11
PHP,2009-12-06,123,37,6
PHP,2009-02-25,7725,923,25
PHP,2009-11-22,75,16,2
PHP,2010-01-18,545,129,14
PHP,2009-02-02,103,6,2
PHP,2011-04-13,1812,348,157
PHP,2011-12-08,340,189,117
PHP,2009-05-29,40814,7261,105
PHP,2009-03-03,48,20,4
PHP,2008-04-14,815,287,9
PHP,2011-10-12,471,277,202
PHP,2009-06-11,75,13,2
PHP,2009-11-28,21,15,2
PHP,2011-01-25,565,116,20
PHP,2010-06-07,1226,170,13
PHP,2010-10-06,1205,364,42
PHP,2011-08-26,34634,3941,152
PHP,2012-02-23,2981,1588,713
PHP,2009-10-26,97,22,3
PHP,2010-08-03,2470,387,25
PHP,2011-11-13,1482,1397,310
PHP,2010-12-24,3493,802,51
PHP,2012-01-11,412,225,235
PHP,2009-12-18,194,45,37
PHP,2011-08-24,679,254,268
PHP,2012-01-10,1093,322,258
PHP,2010-04-15,2180,509,17
PHP,2011-07-18,1388,381,180
PHP,2011-01-15,283,71,21
PHP,2008-12-17,117,25,3
PHP,2011-10-11,887,376,199
PHP,2009-07-16,138,15,3
PHP,2011-01-03,3706,618,49
PHP,2009-10-07,228124,41481,225
PHP,2010-07-01,90,34,9
PHP,2011-10-01,756,185,68
PHP,2010-05-24,258,90,8
PHP,2009-02-27,882,242,12
PHP,2011-11-18,5670,1345,176
PHP,2009-10-09,8526,1189,23
PHP,2011-03-05,2865,697,95
PHP,2012-03-23,2683,1998,1897
PHP,2011-11-22,1772,718,289
PHP,2009-07-18,14,5,3
PHP,2011-10-24,2653,568,240
PHP,2009-04-05,29,4,2
PHP,2010-09-12,730,150,21
PHP,2009-06-19,515,85,5
PHP,2008-06-14,33,12,2
PHP,2010-05-05,1252,271,43
PHP,2011-11-09,1883,600,157
PHP,2008-08-12,4,0,1
PHP,2010-09-14,809,198,17
PHP,2011-02-24,2393,552,117
PHP,2009-09-24,4866,4780,158
PHP,2010-10-24,29548,5243,200
PHP,2012-03-12,5100,2659,2713
PHP,2011-11-28,3485,1003,209
PHP,2011-12-29,18449,3524,455
PHP,2010-12-29,815,509,50
PHP,2009-07-07,3,3,3
PHP,2010-09-06,31,18,7
PHP,2011-08-04,234,80,42
PHP,2011-06-10,261,58,65
PHP,2010-09-24,251,93,22
PHP,2012-02-28,2626,1745,1014
PHP,2011-01-31,3858,1591,64
PHP,2012-03-01,1991,843,837
PHP,2011-06-23,12472,2277,248
PHP,2011-07-17,258,39,75
PHP,2010-08-20,47,14,5
PHP,2008-12-04,51,11,2
PHP,2009-04-14,22,5,2
PHP,2011-07-03,148,76,62
PHP,2011-01-23,128,30,18
PHP,2010-09-04,84,30,22
PHP,2011-04-18,10330,1082,213
PHP,2011-10-08,30489,8245,280
PHP,2011-12-18,392,195,174
PHP,2011-11-30,96712,20226,576
PHP,2010-04-19,1074,746,71
PHP,2011-02-06,10411,2006,72
PHP,2011-01-19,143,39,50
PHP,2011-11-23,578,287,124
PHP,2010-12-22,15826,2228,66
PHP,2009-03-24,93,14,2
PHP,2010-10-23,143,40,7
PHP,2009-04-29,459,87,6
PHP,2012-01-20,4028,666,416
PHP,2009-01-26,5,1,1
PHP,2008-09-18,58,13,4
PHP,2011-08-21,172,106,73
PHP,2010-05-27,441,40,5
PHP,2011-09-29,17371,5303,163
PHP,2009-01-18,7,0,1
PHP,2010-04-26,291,53,5
PHP,2010-08-26,23005,4242,133
PHP,2010-08-08,259,84,8
PHP,2011-04-23,250,77,13
PHP,2009-06-15,3859,549,17
PHP,2011-06-12,5775,2160,112
PHP,2010-07-04,471,123,12
PHP,2009-12-30,3545,785,43
PHP,2012-02-16,1840,872,672
PHP,2010-03-23,2024,750,21
PHP,2010-09-17,181,47,17
PHP,2011-09-23,21731,5002,221
PHP,2011-10-28,415,154,145
PHP,2011-06-06,482,165,95
PHP,2009-09-02,12,4,2
PHP,2011-04-15,3611,1831,133
PHP,2010-10-19,16628,6698,203
PHP,2009-10-30,19,2,1
PHP,2011-09-01,604,149,133
PHP,2010-01-07,3487,261,12
PHP,2009-12-15,2559,609,30
PHP,2010-05-26,85,9,4
PHP,2010-01-16,213,15,4
PHP,2011-08-18,1675,659,204
PHP,2009-03-30,103,18,4
PHP,2011-05-27,275,89,72
PHP,2010-01-20,45624,9284,96
PHP,2010-03-08,7573,2109,67
PHP,2009-01-02,93,29,5
PHP,2008-07-28,21,5,1
PHP,2011-01-21,103296,14134,235
PHP,2009-04-24,20,6,1
PHP,2010-04-03,525,271,19
PHP,2012-02-10,1069,656,465
PHP,2009-01-22,1775,166,10
PHP,2009-06-24,270,33,7
PHP,2010-08-29,561,68,14
PHP,2011-08-29,1152,325,171
PHP,2012-03-31,799,674,707
PHP,2011-10-27,3301,949,266
PHP,2009-01-04,27790,6657,36
PHP,2008-05-07,802,151,8
PHP,2011-03-30,488,142,35
PHP,2009-08-09,4,2,1
PHP,2009-10-13,696,114,11
PHP,2011-12-14,1607,664,409
PHP,2011-10-25,1175,558,178
PHP,2009-02-11,11,3,1
PHP,2011-11-08,1816,395,227
PHP,2011-05-20,609,101,117
PHP,2011-01-26,7421,3234,94
PHP,2010-04-25,2661,320,27
PHP,2012-01-28,1292,442,286
PHP,2012-02-20,1177,655,554
PHP,2011-02-28,6095,1080,88
PHP,2011-08-08,2670,1223,292
PHP,2009-03-27,36,12,4
PHP,2009-09-28,12,2,1
PHP,2009-10-04,105,12,3
PHP,2008-12-26,45,20,1
PHP,2011-11-25,1438,644,244
PHP,2010-02-14,106,17,4
PHP,2009-09-15,5591,2182,48
PHP,2010-08-18,245,88,61
PHP,2010-12-05,4864,1426,129
PHP,2011-11-12,2431,664,324
PHP,2011-08-28,14699,7911,368
PHP,2010-05-06,88,17,8
PHP,2011-10-15,8333,2406,211
PHP,2011-05-12,24903,6547,414
PHP,2011-03-18,1978,394,14
PHP,2011-12-13,3413,1090,321
PHP,2010-11-12,164,69,16
PHP,2011-11-03,3113,808,163
PHP,2009-02-12,14,7,1
PHP,2011-05-16,67403,10024,188
PHP,2010-03-20,9,1,1
PHP,2011-09-19,700,257,124
PHP,2011-08-07,7812,1103,82
PHP,2011-10-13,1115810,126746,565
PHP,2012-02-11,1630,811,352
PHP,2009-02-16,329,59,6
PHP,2010-10-29,203,40,31
PHP,2010-04-09,505,101,101
PHP,2010-09-19,102,24,6
PHP,2011-07-13,188,81,81
PHP,2010-06-06,6619,1613,48
PHP,2011-08-01,941,278,97
PHP,2008-06-23,545,84,7
PHP,2010-12-27,924,184,39
PHP,2009-11-09,3,3,3
PHP,2011-12-06,2198,708,339
PHP,2008-08-24,41,11,1
PHP,2011-11-19,126,101,44
PHP,2010-02-07,20,10,5
PHP,2011-06-02,339,186,73
PHP,2011-06-20,3258,923,104
PHP,2010-11-13,80,32,10
PHP,2009-08-30,4,1,1
PHP,2010-12-12,376,96,12
PHP,2011-09-25,338,152,78
PHP,2010-09-15,59,28,8
PHP,2011-01-06,1355,231,25
PHP,2011-05-29,292,116,75
PHP,2011-07-12,3091,1023,157
PHP,2009-09-22,325,131,4
PHP,2009-12-22,6754,2638,43
PHP,2009-04-22,5871,579,45
PHP,2012-01-31,3977,1275,774
PHP,2009-07-09,1926,957,63
PHP,2010-10-13,645,439,65
PHP,2010-01-17,25,6,3
PHP,2010-02-24,112,27,9
PHP,2010-09-28,16385,2966,136
PHP,2010-03-31,10,4,2
PHP,2010-03-25,2153,344,20
PHP,2009-03-19,964,536,9
PHP,2010-11-30,271,98,30
PHP,2009-05-19,189,46,11
PHP,2010-04-29,1304,472,24
PHP,2010-08-04,1753,513,38
PHP,2010-03-03,169,42,10
PHP,2008-11-22,51,7,3
PHP,2009-09-30,905,179,14
PHP,2012-02-19,1160,734,506
PHP,2012-01-22,1578,818,255
PHP,2010-06-26,13075,2877,96
PHP,2012-02-26,2365,1980,757
PHP,2009-10-18,414,39,3
PHP,2010-08-19,767,182,13
PHP,2011-06-13,241,132,51
PHP,2010-06-03,1403341,445429,667
